#ID;#Singer;#Song;#Year;#Language
100347;Cappuccinos;Party Auf Dem Mond;2011;Deutsch
100348;Carol, Rene;Rote rosen, rote lippen, roter wein;1953;Deutsch
100349;Carolina;Inselkind;2019;Deutsch
100350;Carpendale, Howard;Auf der langen Reise durch die Nacht;1978;Deutsch
100351;Carpendale, Howard;Dann geh doch;1978;Deutsch
100352;Carpendale, Howard;Das Schoene Maedchen Von Seite 1;1970;Deutsch
100353;Carpendale, Howard;Deine spuren im sand;1975;Deutsch
100354;Carpendale, Howard;Du bist das Letzte (2023 version);2023;Deutsch
100355;Carpendale, Howard;Du faengst den Wind niemals ein;1974;Deutsch
100356;Carpendale, Howard;Es Geht Um Mehr;1980;Deutsch
100357;Carpendale, Howard;Fremde oder freunde;1976;Deutsch
100358;Carpendale, Howard;Hello Again;1988;Deutsch
100359;Carpendale, Howard;Hello Again (with Orchestra);2019;Deutsch
100360;Carpendale, Howard;Hitmix;2003;Deutsch
100361;Carpendale, Howard;Ich will den morgen mit dir erleben;1982;Deutsch
100362;Carpendale, Howard;Laura Jane;1987;Deutsch
100363;Carpendale, Howard;Nachts, wenn alles schlaeft;1979;Deutsch
100364;Carpendale, Howard;Nimm den naechsten zug;1977;Deutsch
100365;Carpendale, Howard;Samstag Nacht;1984;Deutsch
100366;Carpendale, Howard;Shine On (Der Regen Von New York);1985;Deutsch
100367;Carpendale, Howard;Ti Amo;1977;Deutsch
100368;Carpendale, Howard;Tuer An Tuer Mit Alice;1976;Deutsch
100369;Carpendale, Howard;Wem;1981;Deutsch
100370;Carpendale, Howard;Wenn es dich irgendwo gibt;1982;Deutsch
100371;Carpendale, Howard;Wie frei willst du sein?;1980;Deutsch
100372;Carrell, Rudi;Wann Wirds Mal Wieder Richtig Sommer;1996;Deutsch
100373;Carrousel;Mehr als ein Wunder;2013;Deutsch
100374;Catterfeld, Yvonne;Besser werden;2017;Deutsch
100375;Catterfeld, Yvonne;Du hast mein Herz gebrochen;2004;Deutsch
100376;Catterfeld, Yvonne;Fuer Dich;2003;Deutsch
100377;Catterfeld, Yvonne;Ganz grosses Kino;2013;Deutsch
100378;Catterfeld, Yvonne;Geweint vor Glueck;2015;Deutsch
100379;Catterfeld, Yvonne;Guten Morgen Freiheit;2017;Deutsch
100380;Catterfeld, Yvonne;Hey;2015;Deutsch
100381;Catterfeld, Yvonne;Immer wieder geht die Sonne auf;2014;Deutsch
100382;Catterfeld, Yvonne;Irgendwas;2016;Deutsch
100383;Catterfeld, Yvonne;Kuessen verboten / Alles mitm Mund;2015;Deutsch
100384;Catterfeld, Yvonne;Lieber So;2013;Deutsch
100385;Catterfeld, Yvonne;LMAA;2015;Deutsch
100386;Catterfeld, Yvonne;Pendel;2013;Deutsch
100387;Catterfeld, Yvonne;So viel mehr als Liebe;2015;Deutsch
100388;Catterfeld, Yvonne;Was bleibt;2017;Deutsch
100389;Chmela, Horst;Her mit meine Hennen (Der Gockala);1991;Deutsch
100390;Christensen, Alex;Du hast den schoensten arsch der welt;2007;Deutsch
100391;Christian, Dennie;Rosamunde (DE);1975;Deutsch
100392;Christian, Gerd;Sag ihr auch (Dance version);2007;Deutsch
100393;Christmas Carol;O Tannenbaum;1824;Deutsch
100394;Christmas Carol;Stille Nacht, Heilige Nacht;1818;Deutsch
